Date_YMD,TT
2020-07-30,784
2022-07-30,45
2021-07-30,598
2020-06-30,506
2022-06-30,23
2021-06-30,1002
2020-03-30,13
2022-03-30,28
2021-03-30,355
2020-05-30,205
2022-05-30,19
2021-05-30,3130
2020-11-30,482
2021-11-30,267
2020-10-30,550
2021-10-30,445
2020-09-30,1179
2021-09-30,278
2020-08-31,816
2022-08-31,37
2021-08-31,462
2020-12-31,244
2021-12-31,406
2022-01-31,1192
2021-01-31,116
2020-07-31,764
2022-07-31,39
2021-07-31,542
2020-03-31,6
2022-03-31,52
2021-03-31,458
2020-05-31,222
2022-05-31,6
2021-05-31,2783
2020-10-31,469
2021-10-31,251
